claim_id,status,claim,basis,required_caveat
allowed_001,allowed_scoped,A caveated posterior summary exists for the DEU full-objective working-lock production sampler.,"Stage 3B-9 readiness passed, Stage 3B-10 wrote the summary, and Stage 3B-11 robustness passed.",This is not a final publication claim and not a model-superiority claim.
allowed_002,allowed_scoped,The production posterior used the full-objective likelihood set and the guarded working-lock configuration.,Stage 3B-6/3B-7/3B-9 production lineage and Stage 3B-12 external framing preflight.,The statement is scoped to the production YAML and chain family only.
allowed_003,allowed_scoped,The readiness and robustness gates passed on two production chain files and 4000 combined rows.,readiness=ADDITIONAL_PRODUCTION_CHAINS_READINESS_GATE_PASS; robustness=POSTERIOR_ROBUSTNESS_COMPARISON_PASS,This does not by itself establish external model comparison or publication-grade superiority.
allowed_004,allowed_scoped,The tri-anchor context is retained as a monitoring caveat around the full-objective posterior.,Tri-anchor monitoring passed in Stage 3B readiness and robustness artifacts.,Do not erase the high-l/lowl/full-objective split from the narrative.
allowed_005,allowed_scoped,"TT_lite may be described as diagnostic-only monitoring context, not part of the sampled posterior likelihood.",Stage 3B-12 TT_lite status and Stage 3B-11 TT_lite diagnostic.,Do not claim the production posterior includes TT_lite.
param_beta,allowed_scoped_numeric_summary,"Posterior summary for beta: mean=0.02949121724807528, median=0.029503285, q16=0.028849905, q84=0.030128599.",Stage 3B-10 parameter summary reproduced by robustness checks.,"Report as chain-summary posterior under the production sampler, not as final external cosmological truth."
param_p_vis,allowed_scoped_numeric_summary,"Posterior summary for p_vis: mean=1.0474182267750214, median=1.0473475, q16=1.0459375, q84=1.048932.",Stage 3B-10 parameter summary reproduced by robustness checks.,"Report as chain-summary posterior under the production sampler, not as final external cosmological truth."
param_omega_b,allowed_scoped_numeric_summary,"Posterior summary for omega_b: mean=0.021980020954662106, median=0.021972856, q16=0.021927323, q84=0.0220347.",Stage 3B-10 parameter summary reproduced by robustness checks.,"Report as chain-summary posterior under the production sampler, not as final external cosmological truth."
param_n_s,allowed_scoped_numeric_summary,"Posterior summary for n_s: mean=0.9815232201591104, median=0.9815207, q16=0.98086835, q84=0.98217567.",Stage 3B-10 parameter summary reproduced by robustness checks.,"Report as chain-summary posterior under the production sampler, not as final external cosmological truth."
param_A_planck,allowed_scoped_numeric_summary,"Posterior summary for A_planck: mean=1.0250557243798117, median=1.0250715, q16=1.0242044, q84=1.0259026.",Stage 3B-10 parameter summary reproduced by robustness checks.,"Report as chain-summary posterior under the production sampler, not as final external cosmological truth."
