row_index,path,role,source,required,exists_now,is_file_now,size_bytes_now,previous_exists,previous_size_bytes,has_previous_sha256,pass
1,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3a_outputs/stage3a10_full_objective_working_lock_guard_working_lock_manifest.json,core_stage3a10_manifest,stage3b35_core_requirements,True,True,True,5519,True,5519,True,True
2,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_10_first_posterior_summary.py,stage_script,script_inventory,False,True,True,35691,True,35691,True,True
3,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_11_posterior_robustness_comparison.py,stage_script,script_inventory,False,True,True,42652,True,42652,True,True
4,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_12_external_model_comparison_preflight.py,stage_script,script_inventory,False,True,True,41302,True,41302,True,True
5,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_13_scoped_final_claim_lock.py,stage_script,script_inventory,False,True,True,37355,True,37355,True,True
6,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_14_baseline_native_model_comparison_extension.py,stage_script,script_inventory,False,True,True,37888,True,37888,True,True
7,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_15_matched_native_baseline_preflight.py,stage_script,script_inventory,False,True,True,48824,True,48824,True,True
8,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_16_native_baseline_sampler_checkpoint.py,stage_script,script_inventory,False,True,True,40265,True,40265,True,True
9,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_17_native_baseline_readiness_comparison_gate.py,stage_script,script_inventory,False,True,True,50451,True,50451,True,True
10,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_18_additional_native_baseline_chains_readiness.py,stage_script,script_inventory,False,True,True,47884,True,47884,True,True
11,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_19_matched_deu_native_comparison_claim_lock.py,stage_script,script_inventory,False,True,True,47224,True,47224,True,True
12,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_20_final_scoped_internal_report.py,stage_script,script_inventory,False,True,True,40090,True,40090,True,True
