claim_type,id,statement,scope,preprint_allowed,requires_github_link
allowed,preprint_status,This manuscript is an author-led preprint and has not yet undergone journal peer review.,preprint metadata / manuscript front matter,True,False
allowed,public_verification,"The code, chain artifacts, validation ledgers, checksums, and reproduction commands are publicly available for reader verification in the associated GitHub repository.",data/code availability statement,True,True
allowed,scoped_posterior,"Within the stated DEU full-objective likelihood configuration, the booked production chains support the reported scoped posterior summary.",results with caveats,True,False
allowed,scoped_comparison,The matched DEU/native comparison is reported descriptively under the same staged validation scope.,comparison section,True,False
allowed,internal_evidence,"The formal and independent evidence-estimator diagnostics favor DEU over the native baseline within the internal validation protocol; this is reported as a caveated estimator result, not as peer-reviewed model superiority.",evidence lineage section,True,True
allowed,tt_lite_scope,TT_lite was monitored as diagnostic context but was excluded from the sampled production and evidence likelihoods.,methods / limitations,True,False
blocked,peer_reviewed,Do not claim that the work is peer reviewed or independently externally reviewed.,No external reviewer result was booked; the old reviewer path remained pending by design.,False,False
blocked,unqualified_model_superiority,Do not state unqualified model superiority or final cosmological truth.,"The current route allows scoped internal/preprint evidence language with caveats, not final model-selection claims.",False,False
blocked,tt_lite_in_evidence,Do not claim TT_lite was part of the sampled posterior or evidence likelihood.,TT_lite remained diagnostic-only throughout the production/evidence chain.,False,False
blocked,final_publication_style,Do not use final publication-style language implying journal acceptance or settled review.,The release is an author-led preprint with a public verification package.,False,False
blocked,reader_review_equals_peer_review,Do not equate GitHub reader verification with formal peer review.,"Public reproducibility access supports transparency, not reviewer certification.",False,False
