claim_id,claim_class,allowed,scope,statement_or_blocked_statement,caveat_or_reason
internal_formal_crosscheck_recorded,formal_evidence_internal,True,allowed_internal_caveated,A matched formal cross-check evidence-estimator result has been recorded for the DEU and native/baseline chain families.,Internal staged validation only; not a publication-level evidence claim.
internal_log_evidence_values,formal_evidence_internal,True,allowed_internal_caveated,Internal formal cross-check log-evidence values were DEU=-576.0487181192134 and native=-734.8127651694195.,These values are tied to the estimator and staged matched-chain setup.
internal_log_bf_direction,formal_evidence_internal,True,allowed_internal_caveated,The internal formal cross-check log-BF-style value was DEU-minus-native=158.76404705020616.,This is not a final Bayes-factor claim and does not by itself authorize model-superiority wording.
proxy_formal_lineage,formal_evidence_internal,True,allowed_internal_caveated,The formal cross-check result is consistent with the prior diagnostic proxy lineage recorded in Stages 3B-23 through 3B-27.,"Agreement is an internal consistency check, not independent external validation."
posterior_summary_context,formal_evidence_internal,True,allowed_internal_caveated,The formal evidence addendum may be attached to the scoped internal posterior report.,The posterior report remains scoped and caveated.
model_superiority,blocked_external_or_superiority,False,blocked,DEU is superior to the native/baseline model.,Stage 3B-27 permits internal formal-evidence language only; model-superiority claims remain gated.
publication_ready_bayes_factor,blocked_external_or_superiority,False,blocked,The reported log-BF is a final publication-ready Bayes factor.,No external publication claim gate has passed.
tt_lite_in_evidence,blocked_external_or_superiority,False,blocked,TT_lite was included in the sampled/evidence likelihood.,TT_lite remains diagnostic-only and excluded from the production/evidence likelihood scope.
external_publication_claim,blocked_external_or_superiority,False,blocked,The result can be stated externally without caveats.,External publication-style claims remain blocked.
final_cosmological_claim,blocked_external_or_superiority,False,blocked,The staged validation establishes a final cosmological result.,Final publication-style claims remain gated.
