row_index,path,expected_sha256,actual_sha256,exists_now,sha256_match,role,required
1,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3a_outputs/stage3a10_full_objective_working_lock_guard_working_lock_manifest.json,b71436891c2fc6ffe5926ff427bf940b60010d4306270c422d778cc6e2ad4c22,b71436891c2fc6ffe5926ff427bf940b60010d4306270c422d778cc6e2ad4c22,True,True,core_stage3a10_manifest,True
2,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_10_first_posterior_summary.py,19262b985a44e98ae79a9bc1d23cb73afffdb8089254f1c94c39012784f67861,19262b985a44e98ae79a9bc1d23cb73afffdb8089254f1c94c39012784f67861,True,True,stage_script,False
3,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_11_posterior_robustness_comparison.py,c7d76f93342f0b688b82a418e0d0427679a74608a8d730e7badad9bb102c4db8,c7d76f93342f0b688b82a418e0d0427679a74608a8d730e7badad9bb102c4db8,True,True,stage_script,False
4,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_12_external_model_comparison_preflight.py,67e743cff784411bcbd77cb8e653ee5d92c7b5d2c3bef6850670b2f175bb879a,67e743cff784411bcbd77cb8e653ee5d92c7b5d2c3bef6850670b2f175bb879a,True,True,stage_script,False
5,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_13_scoped_final_claim_lock.py,000722d11336b87e59b732aacf37017fa289aff8904ddf3fe37a7e8c896f6015,000722d11336b87e59b732aacf37017fa289aff8904ddf3fe37a7e8c896f6015,True,True,stage_script,False
6,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_14_baseline_native_model_comparison_extension.py,03229cf32cc7702da9010cb661319802293daa173fc473319d035cfbe0657262,03229cf32cc7702da9010cb661319802293daa173fc473319d035cfbe0657262,True,True,stage_script,False
7,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_15_matched_native_baseline_preflight.py,2392838520bd12184d0d78c71b979fb5e329df1786d4dd380b9cb9bc7d0202b3,2392838520bd12184d0d78c71b979fb5e329df1786d4dd380b9cb9bc7d0202b3,True,True,stage_script,False
8,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_16_native_baseline_sampler_checkpoint.py,f60eb5c881e14757a624b3d381d087b649d6e5d93f309e2563b06dbe09313d7d,f60eb5c881e14757a624b3d381d087b649d6e5d93f309e2563b06dbe09313d7d,True,True,stage_script,False
9,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_17_native_baseline_readiness_comparison_gate.py,0dbea398c1aa9ab85b606b9f34bff6b3c8fffb9770f6e3c9f13578634c9c565b,0dbea398c1aa9ab85b606b9f34bff6b3c8fffb9770f6e3c9f13578634c9c565b,True,True,stage_script,False
10,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_18_additional_native_baseline_chains_readiness.py,5dcc6a51cb9199933a850651955649b036f08c58471d5ef6b403463ef19c1049,5dcc6a51cb9199933a850651955649b036f08c58471d5ef6b403463ef19c1049,True,True,stage_script,False
11,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_19_matched_deu_native_comparison_claim_lock.py,188712890d4f4db581573b98b36ddf9045998e6855859cd150a45cbb67f11a03,188712890d4f4db581573b98b36ddf9045998e6855859cd150a45cbb67f11a03,True,True,stage_script,False
12,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_20_final_scoped_internal_report.py,f2d121ce1554b2ab4bb22ee0d042dc441880a5d8b1ad108198a54820924ec7d3,f2d121ce1554b2ab4bb22ee0d042dc441880a5d8b1ad108198a54820924ec7d3,True,True,stage_script,False
13,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_21_evidence_model_selection_design.py,05424ed4072d190aeb46860b56c6e8f76dff56b5105e289354f0cda1bfe6a0e6,05424ed4072d190aeb46860b56c6e8f76dff56b5105e289354f0cda1bfe6a0e6,True,True,stage_script,False
